countryCode	country	date	currencyConv	super	diesel
AT	Austria	09/04/2018	1	1205	1154
AT	Austria	26/03/2018	1	1175	1155
AT	Austria	19/03/2018	1	1161	1122
AT	Austria	12/03/2018	1	1162	1120
AT	Austria	05/03/2018	1	1180	1134
AT	Austria	26/02/2018	1	1181	1127
AT	Austria	19/02/2018	1	1195	1132
AT	Austria	12/02/2018	1	1198	1139
AT	Austria	05/02/2018	1	1210	1154
AT	Austria	29/01/2018	1	1209	1156
AT	Austria	22/01/2018	1	1205	1155
AT	Austria	15/01/2018	1	1207	1159
AT	Austria	08/01/2018	1	1205	1156
AT	Austria	01/01/2018	1	1205	1157
AT	Austria	18/12/2017	1	1194	1146
AT	Austria	11/12/2017	1	1191	1138
AT	Austria	04/12/2017	1	1202	1145
AT	Austria	27/11/2017	1	1199	1143
AT	Austria	20/11/2017	1	1211	1144
AT	Austria	13/11/2017	1	1216	1152
AT	Austria	06/11/2017	1	1194	1133
AT	Austria	30/10/2017	1	1175	1120
AT	Austria	23/10/2017	1	1174	1117
AT	Austria	16/10/2017	1	1173	1111
AT	Austria	09/10/2017	1	1181	1117
AT	Austria	02/10/2017	1	1184	1115
AT	Austria	25/09/2017	1	1181	1104
AT	Austria	18/09/2017	1	1184	1098
AT	Austria	11/09/2017	1	1196	1103
AT	Austria	04/09/2017	1	1179	1088
AT	Austria	28/08/2017	1	1152	1067
AT	Austria	21/08/2017	1	1151	1067
AT	Austria	14/08/2017	1	1153	1069
AT	Austria	07/08/2017	1	1152	1069
AT	Austria	31/07/2017	1	1144	1058
AT	Austria	24/07/2017	1	1146	1058
AT	Austria	17/07/2017	1	1144	1056
AT	Austria	10/07/2017	1	1148	1062
AT	Austria	03/07/2017	1	1143	1055
AT	Austria	26/06/2017	1	1155	1073
AT	Austria	19/06/2017	1	1156	1067
AT	Austria	12/06/2017	1	1157	1069
AT	Austria	05/06/2017	1	1162	1075
AT	Austria	29/05/2017	1	1173	1092
AT	Austria	22/05/2017	1	1173	1091
AT	Austria	15/05/2017	1	1172	1087
AT	Austria	08/05/2017	1	1173	1090
AT	Austria	01/05/2017	1	1190	1107
AT	Austria	24/04/2017	1	1200	1121
AT	Austria	10/04/2017	1	1194	1117
AT	Austria	03/04/2017	1	1165	1104
AT	Austria	27/03/2017	1	1144	1095
AT	Austria	20/03/2017	1	1151	1098
AT	Austria	13/03/2017	1	1183	1119
AT	Austria	06/03/2017	1	1203	1132
AT	Austria	27/02/2017	1	1212	1143
AT	Austria	20/02/2017	1	1206	1131
AT	Austria	13/02/2017	1	1195	1126
AT	Austria	06/02/2017	1	1190	1126
AT	Austria	30/01/2017	1	1182	1121
AT	Austria	23/01/2017	1	1189	1125
AT	Austria	16/01/2017	1	1192	1133
AT	Austria	09/01/2017	1	1194	1142
AT	Austria	02/01/2017	1	1194	1147
AT	Austria	19/12/2016	1	1171	1126
AT	Austria	12/12/2016	1	1160	1111
AT	Austria	05/12/2016	1	1154	1110
AT	Austria	28/11/2016	1	1129	1082
AT	Austria	21/11/2016	1	1118	1063
AT	Austria	14/11/2016	1	1117	1063
AT	Austria	07/11/2016	1	1137	1075
AT	Austria	31/10/2016	1	1147	1090
AT	Austria	24/10/2016	1	1154	1087
AT	Austria	17/10/2016	1	1157	1091
AT	Austria	10/10/2016	1	1142	1079
AT	Austria	03/10/2016	1	1125	1054
AT	Austria	26/09/2016	1	1121	1049
AT	Austria	19/09/2016	1	1116	1040
AT	Austria	12/09/2016	1	1119	1053
AT	Austria	05/09/2016	1	1114	1045
AT	Austria	29/08/2016	1	1108	1044
AT	Austria	22/08/2016	1	1114	1045
AT	Austria	15/08/2016	1	1092	1017
AT	Austria	08/08/2016	1	1093	1013
AT	Austria	01/08/2016	1	1098	1029
AT	Austria	25/07/2016	1	1115	1048
AT	Austria	18/07/2016	1	1117	1045
AT	Austria	11/07/2016	1	1132	1048
AT	Austria	04/07/2016	1	1152	1066
AT	Austria	27/06/2016	1	1154	1062
AT	Austria	20/06/2016	1	1148	1060
AT	Austria	13/06/2016	1	1152	1068
AT	Austria	06/06/2016	1	1164	1070
AT	Austria	30/05/2016	1	1161	1068
AT	Austria	23/05/2016	1	1138	1043
AT	Austria	16/05/2016	1	1128	1031
AT	Austria	09/05/2016	1	1125	1024
AT	Austria	02/05/2016	1	1137	1032
AT	Austria	25/04/2016	1	1120	1019
AT	Austria	18/04/2016	1	1099	988
AT	Austria	11/04/2016	1	1087	974
AT	Austria	04/04/2016	1	1082	982
AT	Austria	21/03/2016	1	1056	988
AT	Austria	14/03/2016	1	1057	983
AT	Austria	07/03/2016	1	1038	957
AT	Austria	29/02/2016	1	1037	950
AT	Austria	22/02/2016	1	1043	953
AT	Austria	15/02/2016	1	1036	938
AT	Austria	08/02/2016	1	1051	948
AT	Austria	01/02/2016	1	1057	943
AT	Austria	25/01/2016	1	1054	936
AT	Austria	18/01/2016	1	1063	954
AT	Austria	11/01/2016	1	1088	981
AT	Austria	04/01/2016	1	1094	987
AT	Austria	14/12/2015	1	1110	1020
AT	Austria	07/12/2015	1	1128	1041
AT	Austria	30/11/2015	1	1140	1070
AT	Austria	23/11/2015	1	1134	1070
AT	Austria	16/11/2015	1	1152	1080
AT	Austria	09/11/2015	1	1144	1079
AT	Austria	02/11/2015	1	1123	1066
AT	Austria	26/10/2015	1	1109	1048
AT	Austria	19/10/2015	1	1124	1062
AT	Austria	12/10/2015	1	1148	1082
AT	Austria	05/10/2015	1	1141	1071
AT	Austria	28/09/2015	1	1157	1076
AT	Austria	21/09/2015	1	1160	1073
AT	Austria	14/09/2015	1	1173	1082
AT	Austria	07/09/2015	1	1180	1084
AT	Austria	31/08/2015	1	1183	1065
AT	Austria	24/08/2015	1	1204	1077
AT	Austria	17/08/2015	1	1230	1087
AT	Austria	10/08/2015	1	1262	1097
AT	Austria	03/08/2015	1	1269	1112
AT	Austria	27/07/2015	1	1286	1131
AT	Austria	20/07/2015	1	1293	1139
AT	Austria	13/07/2015	1	1305	1152
AT	Austria	06/07/2015	1	1294	1173
AT	Austria	29/06/2015	1	1286	1174
AT	Austria	22/06/2015	1	1291	1178
AT	Austria	15/06/2015	1	1297	1189
AT	Austria	08/06/2015	1	1281	1188
AT	Austria	01/06/2015	1	1275	1188
AT	Austria	25/05/2015	1	1276	1193
AT	Austria	18/05/2015	1	1254	1177
AT	Austria	11/05/2015	1	1269	1188
AT	Austria	04/05/2015	1	1264	1184
AT	Austria	27/04/2015	1	1269	1188
AT	Austria	20/04/2015	1	1255	1177
AT	Austria	13/04/2015	1	1223	1145
AT	Austria	30/03/2015	1	1232	1153
AT	Austria	23/03/2015	1	1215	1150
AT	Austria	16/03/2015	1	1220	1169
AT	Austria	09/03/2015	1	1211	1178
AT	Austria	02/03/2015	1	1196	1180
AT	Austria	23/02/2015	1	1183	1164
AT	Austria	16/02/2015	1	1171	1148
AT	Austria	09/02/2015	1	1153	1125
AT	Austria	02/02/2015	1	1116	1091
AT	Austria	26/01/2015	1	1112	1082
AT	Austria	19/01/2015	1	1109	1078
AT	Austria	12/01/2015	1	1128	1106
AT	Austria	05/01/2015	1	1167	1144
AT	Austria	15/12/2014	1	1191	1168
AT	Austria	08/12/2014	1	1221	1193
AT	Austria	01/12/2014	1	1276	1223
AT	Austria	24/11/2014	1	1294	1247
AT	Austria	17/11/2014	1	1312	1265
AT	Austria	10/11/2014	1	1311	1269
AT	Austria	03/11/2014	1	1320	1271
AT	Austria	27/10/2014	1	1319	1260
AT	Austria	20/10/2014	1	1344	1269
AT	Austria	13/10/2014	1	1373	1286
AT	Austria	06/10/2014	1	1383	1303
AT	Austria	29/09/2014	1	1379	1304
AT	Austria	22/09/2014	1	1382	1312
AT	Austria	15/09/2014	1	1386	1316
AT	Austria	08/09/2014	1	1391	1323
AT	Austria	01/09/2014	1	1362	1300
AT	Austria	25/08/2014	1	1346	1291
AT	Austria	18/08/2014	1	1340	1293
AT	Austria	11/08/2014	1	1365	1300
AT	Austria	04/08/2014	1	1381	1305
AT	Austria	28/07/2014	1	1381	1299
AT	Austria	21/07/2014	1	1387	1300
AT	Austria	14/07/2014	1	1387	1301
AT	Austria	07/07/2014	1	1393	1309
AT	Austria	30/06/2014	1	1399	1319
AT	Austria	23/06/2014	1	1398	1326
AT	Austria	16/06/2014	1	1383	1341
AT	Austria	09/06/2014	1	1363	1298
AT	Austria	02/06/2014	1	1370	1319
AT	Austria	26/05/2014	1	1365	1314
AT	Austria	19/05/2014	1	1366	1319
AT	Austria	12/05/2014	1	1356	1305
AT	Austria	05/05/2014	1	1368	1313
AT	Austria	28/04/2014	1	1373	1319
AT	Austria	14/04/2014	1	1359	1316
AT	Austria	07/04/2014	1	1347	1311
AT	Austria	31/03/2014	1	1345	1313
AT	Austria	24/03/2014	1	1337	1311
AT	Austria	17/03/2014	1	1344	1320
AT	Austria	10/03/2014	1	1344	1329
AT	Austria	03/03/2014	1	1350	1334
AT	Austria	24/02/2014	1	1358	1337
AT	Austria	17/02/2014	1	1353	1333
AT	Austria	10/02/2014	1	1338	1329
AT	Austria	03/02/2014	1	1336	1327
AT	Austria	27/01/2014	1	1341	1332
AT	Austria	20/01/2014	1	1334	1322
AT	Austria	13/01/2014	1	1343	1330
AT	Austria	06/01/2014	1	1341	1333
AT	Austria	16/12/2013	1	1353	1347
AT	Austria	09/12/2013	1	1362	1356
AT	Austria	02/12/2013	1	1349	1345
AT	Austria	25/11/2013	1	1355	1347
AT	Austria	18/11/2013	1	1345	1339
AT	Austria	11/11/2013	1	1329	1326
AT	Austria	04/11/2013	1	1333	1329
AT	Austria	28/10/2013	1	1338	1334
AT	Austria	21/10/2013	1	1362	1352
AT	Austria	14/10/2013	1	1372	1363
AT	Austria	07/10/2013	1	1355	1350
AT	Austria	30/09/2013	1	1375	1364
AT	Austria	23/09/2013	1	1387	1374
AT	Austria	16/09/2013	1	1398	1379
AT	Austria	09/09/2013	1	1432	1386
AT	Austria	02/09/2013	1	1441	1383
AT	Austria	26/08/2013	1	1415	1363
AT	Austria	19/08/2013	1	1418	1362
AT	Austria	12/08/2013	1	1408	1347
AT	Austria	05/08/2013	1	1416	1354
AT	Austria	29/07/2013	1	1419	1354
AT	Austria	22/07/2013	1	1429	1364
AT	Austria	15/07/2013	1	1427	1368
AT	Austria	08/07/2013	1	1398	1349
AT	Austria	01/07/2013	1	1395	1341
AT	Austria	24/06/2013	1	1392	1337
AT	Austria	17/06/2013	1	1390	1335
AT	Austria	10/06/2013	1	1395	1341
AT	Austria	03/06/2013	1	1395	1347
AT	Austria	27/05/2013	1	1394	1344
AT	Austria	20/05/2013	1	1388	1342
AT	Austria	13/05/2013	1	1383	1337
AT	Austria	06/05/2013	1	1367	1321
AT	Austria	29/04/2013	1	1372	1323
AT	Austria	22/04/2013	1	1368	1320
AT	Austria	15/04/2013	1	1392	1345
AT	Austria	08/04/2013	1	1413	1386
AT	Austria	25/03/2013	1	1397	1351
AT	Austria	18/03/2013	1	1396	1361
AT	Austria	11/03/2013	1	1403	1364
AT	Austria	04/03/2013	1	1426	1378
AT	Austria	25/02/2013	1	1459	1412
AT	Austria	18/02/2013	1	1454	1406
AT	Austria	11/02/2013	1	1438	1395
AT	Austria	04/02/2013	1	1419	1380
AT	Austria	28/01/2013	1	1405	1379
AT	Austria	21/01/2013	1	1394	1374
AT	Austria	14/01/2013	1	1407	1384
AT	Austria	07/01/2013	1	1398	1371
AT	Austria	17/12/2012	1	1393	1384
AT	Austria	10/12/2012	1	1396	1392
AT	Austria	03/12/2012	1	1402	1410
AT	Austria	26/11/2012	1	1402	1413
AT	Austria	19/11/2012	1	1401	1410
AT	Austria	12/11/2012	1	1406	1417
AT	Austria	05/11/2012	1	1415	1418
AT	Austria	29/10/2012	1	1427	1422
AT	Austria	22/10/2012	1	1463	1435
AT	Austria	15/10/2012	1	1505	1452
AT	Austria	08/10/2012	1	1504	1440
AT	Austria	01/10/2012	1	1506	1436
AT	Austria	24/09/2012	1	1511	1438
AT	Austria	17/09/2012	1	1540	1458
AT	Austria	10/09/2012	1	1547	1466
AT	Austria	03/09/2012	1	1505	1444
AT	Austria	27/08/2012	1	1520	1457
AT	Austria	20/08/2012	1	1509	1445
AT	Austria	13/08/2012	1	1473	1426
AT	Austria	06/08/2012	1	1455	1398
AT	Austria	30/07/2012	1	1444	1395
AT	Austria	23/07/2012	1	1456	1404
AT	Austria	16/07/2012	1	1432	1370
AT	Austria	09/07/2012	1	1403	1345
AT	Austria	02/07/2012	1	1395	1332
AT	Austria	25/06/2012	1	1376	1319
AT	Austria	18/06/2012	1	1407	1345
AT	Austria	11/06/2012	1	1425	1367
AT	Austria	04/06/2012	1	1438	1379
AT	Austria	28/05/2012	1	1434	1377
AT	Austria	21/05/2012	1	1439	1392
AT	Austria	14/05/2012	1	1453	1401
AT	Austria	07/05/2012	1	1474	1419
AT	Austria	30/04/2012	1	1493	1418
AT	Austria	23/04/2012	1	1521	1432
AT	Austria	16/04/2012	1	1526	1441
AT	Austria	02/04/2012	1	1513	1445
AT	Austria	26/03/2012	1	1491	1446
AT	Austria	19/03/2012	1	1484	1442
AT	Austria	12/03/2012	1	1472	1438
AT	Austria	05/03/2012	1	1451	1424
AT	Austria	27/02/2012	1	1436	1421
AT	Austria	20/02/2012	1	1431	1422
AT	Austria	13/02/2012	1	1409	1403
AT	Austria	06/02/2012	1	1397	1388
AT	Austria	30/01/2012	1	1392	1388
AT	Austria	23/01/2012	1	1394	1397
AT	Austria	16/01/2012	1	1399	1403
AT	Austria	09/01/2012	1	1374	1378
AT	Austria	19/12/2011	1	1352	1366
AT	Austria	12/12/2011	1	1353	1374
AT	Austria	05/12/2011	1	1353	1379
AT	Austria	28/11/2011	1	1354	1378
AT	Austria	21/11/2011	1	1372	1400
AT	Austria	14/11/2011	1	1377	1387
AT	Austria	07/11/2011	1	1365	1363
AT	Austria	31/10/2011	1	1361	1361
AT	Austria	24/10/2011	1	1368	1352
AT	Austria	17/10/2011	1	1367	1346
AT	Austria	10/10/2011	1	1363	1338
AT	Austria	03/10/2011	1	1365	1333
AT	Austria	26/09/2011	1	1384	1341
AT	Austria	19/09/2011	1	1394	1344
AT	Austria	12/09/2011	1	1398	1341
AT	Austria	05/09/2011	1	1385	1334
AT	Austria	29/08/2011	1	1352	1310
