"Country"	"Date"	"Fuel"	"Price"	"Reg"
"Austria"	2005-01-01	"Super"	917.4	23424
"Austria"	2005-01-01	"Diesel"	848.2	23424
"Austria"	2005-02-01	"Diesel"	849.25	18621
"Austria"	2005-02-01	"Super"	930.25	18621
"Austria"	2005-03-01	"Diesel"	878.666666666667	32549
"Austria"	2005-03-01	"Super"	956.666666666667	32549
"Austria"	2005-04-01	"Super"	1011	34063
"Austria"	2005-04-01	"Diesel"	935.5	34063
"Austria"	2005-05-01	"Super"	1004.2	29705
"Austria"	2005-05-01	"Diesel"	922.8	29705
"Austria"	2005-06-01	"Diesel"	946	32849
"Austria"	2005-06-01	"Super"	1028.75	32849
"Austria"	2005-07-01	"Diesel"	985	25881
"Austria"	2005-07-01	"Super"	1070.5	25881
"Austria"	2005-08-01	"Diesel"	995.8	21808
"Austria"	2005-08-01	"Super"	1093	21808
"Austria"	2005-09-01	"Super"	1158.5	25375
"Austria"	2005-09-01	"Diesel"	1030.75	25375
"Austria"	2005-10-01	"Diesel"	1024.5	23699
"Austria"	2005-10-01	"Super"	1137.5	23699
"Austria"	2005-11-01	"Diesel"	991.25	22240
"Austria"	2005-11-01	"Super"	1063.75	22240
"Austria"	2005-12-01	"Diesel"	972.666666666667	17701
"Austria"	2005-12-01	"Super"	1033	17701
"Austria"	2006-01-01	"Diesel"	979	23448
"Austria"	2006-01-01	"Super"	1055	23448
"Austria"	2006-02-01	"Super"	1060.25	19505
"Austria"	2006-02-01	"Diesel"	981.75	19505
"Austria"	2006-03-01	"Super"	1065.25	35046
"Austria"	2006-03-01	"Diesel"	994	35046
"Austria"	2006-04-01	"Super"	1112	30855
"Austria"	2006-04-01	"Diesel"	1031.66666666667	30855
"Austria"	2006-05-01	"Diesel"	1044.6	30659
"Austria"	2006-05-01	"Super"	1144	30659
"Austria"	2006-06-01	"Super"	1142.75	29833
"Austria"	2006-06-01	"Diesel"	1043	29833
"Austria"	2006-07-01	"Diesel"	1045.6	25403
