Date	Belgium	Bulgaria	Czech Republic	Denmark	Germany (until 1990 former territory of the FRG)	Estonia	Ireland	Greece	Spain	France	Croatia	Italy	Cyprus	Latvia	Lithuania	Luxembourg	Hungary	Malta	Netherlands	Austria	Poland	Portugal	Romania	Slovenia	Slovakia	Finland	Sweden	United Kingdom	Iceland	Norway	Switzerland	Montenegro	Former Yugoslav Republic of Macedonia, the	Albania	Serbia	Turkey
01/12/1999	81.976		56.826	77.800	89.942	56.330	84.668	76.893	72.738	82.661		78.878	73.521	62.777	60.055	75.340	60.951		78.754	82.972		75.134	42.919	79.923		85.454	91.099	105.869		60.759	77.150					
01/03/2000	82.437	56.469	57.221	78.294	89.829	57.027	86.361	76.146	73.478	83.233	64.923	78.921	74.163	65.975	64.242	74.035	61.505	79.743	79.730	83.512		75.631	45.898	78.743		85.095	92.750	111.356		64.480	77.132					
01/06/2000	82.806	57.027	57.079	78.606	89.589	57.173	87.149	75.968	73.966	83.628	66.383	79.442	75.265	69.998	67.499	74.610	62.557	80.543	80.243	83.797		76.636	47.740	78.101		85.897	95.650	112.787		65.206	79.732					
01/09/2000	83.186	59.320	58.771	79.015	89.833	57.744	87.419	75.278	74.848	84.040	67.808	80.040	75.783	70.935	68.881	75.816	64.777	81.760	81.276	84.141		77.392	49.641	78.625		86.584	94.816	112.910		68.277	80.954					
01/12/2000	83.755	60.950	60.019	80.236	89.688	59.879	90.349	74.473	75.509	84.450	68.738	80.249	76.717	73.588	72.572	75.379	65.145	84.060	81.764	84.742		77.757	50.842	79.244		87.165	92.900	115.235		70.979	82.835					
01/03/2001	83.622	60.946	61.040	80.274	90.306	59.693	91.776	75.855	76.263	84.856	68.188	81.120	76.315	70.109	68.373	74.142	66.497	82.058	83.486	85.257		78.572	49.025	79.680		88.895	89.312	108.979		68.605	82.085					
01/06/2001	84.912	61.999	62.913	80.847	90.519	61.261	92.995	76.755	77.132	85.299	72.313	81.794	78.754	71.321	72.865	74.882	71.962	83.360	83.828	85.574		79.342	52.219	80.708		89.059	89.468	113.409		71.006	82.663					
01/09/2001	85.154	62.653	64.617	81.169	91.042	62.013	94.368	77.418	77.866	85.696	71.298	82.371	78.603	72.787	70.010	75.356	74.477	84.411	84.247	85.734		79.984	51.794	81.473		89.168	86.238	112.166		69.060	83.693					
01/12/2001	85.496	63.224	67.012	81.919	91.628	63.318	94.476	77.969	78.696	86.186	72.686	82.910	79.290	72.766	69.406	76.724	74.138	85.086	84.970	86.140		80.930	52.519	82.504		89.138	86.631	112.556		67.537	85.445					
01/03/2002	85.776	64.167	69.964	82.568	91.881	63.707	96.999	78.678	79.421	86.701	73.209	84.053	78.145	74.505	72.279	76.652	80.892	85.640	86.160	86.146	87.782	81.705	53.437	83.861		89.556	89.747	114.656		68.764	85.128					
01/06/2002	85.977	64.320	74.013	82.834	91.682	64.348	96.318	79.043	80.323	87.015	74.053	84.435	77.816	73.183	73.267	76.849	80.850	85.217	86.950	86.655	85.598	82.640	52.541	83.763		90.008	90.153	112.614		72.273	85.695					
01/09/2002	86.310	64.757	73.982	83.499	92.295	64.703	99.035	79.423	81.095	87.466	74.876	85.139	78.451	71.941	72.999	76.701	81.675	83.826	87.765	86.929	78.403	83.556	51.731	84.177		90.050	89.557	112.091		74.299	85.981					
01/12/2002	86.804	65.307	72.252	83.889	92.549	65.926	99.344	80.973	81.880	87.952	74.760	85.561	80.788	70.962	72.906	76.041	84.802	84.647	87.863	86.990	79.727	84.399	52.794	84.369		90.098	91.357	112.700		74.781	86.008					
01/03/2003	87.113	64.682	71.424	83.880	92.916	66.424	101.518	81.239	82.697	88.264	73.958	86.289	80.676	69.474	73.259	78.212	83.327	83.775	88.339	87.522	76.250	84.743	53.010	84.951		90.323	91.332	108.081		74.446	86.408					
