Date	European Union (EU6-1972, EU9-1980, EU10-1985, EU12-1994, EU15-2004, EU25-2006, EU27-2013, EU28)	European Union (current composition)	Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)	Euro area (19 countries)	Euro area (18 countries)	Belgium	Bulgaria	Czech Republic	Denmark	Germany (until 1990 former territory of the FRG)	Estonia	Ireland	Greece	Spain	France	Croatia	Italy	Cyprus	Latvia	Lithuania	Luxembourg	Hungary	Malta	Netherlands	Austria	Poland	Portugal	Romania	Slovenia	Slovakia	Finland	Sweden	United Kingdom	European Economic Area (EEA18-2004, EEA28-2006, EEA30-2013, EEA31)	Iceland	Norway	Switzerland	Former Yugoslav Republic of Macedonia, the	Serbia	Turkey	United States
01/01/1999	1.2		1.6			1.4	-3.7		2.5	1.5		0.3	4.0	0.7	1.1		3.4	0.7	-3.7	-0.9	-0.3		0.7	0.4	0.6	2.6	3.4			1.8	2.0	-0.9	-0.7	1.2	-0.7	1.1				72.4	
01/02/1999	1.1		1.5			1.7	-1.6		2.7	1.6		0.4	3.8	0.7	0.9		2.8	0.5	-4.9	-1.9	-0.2		0.5	0.4	0.6	1.5	3.5			1.4	1.8	-0.7	-1.0	1.1	-0.7	1.2				69.5	
01/03/1999	1.0		1.5			1.9	-2.3		2.9	1.7		0.6	3.0	0.7	0.7		2.4	0.2	-6.2	-3.0	-0.1		0.3	0.3	0.6	1.0	3.6			1.1	1.6	-0.6	-1.3	1.0	-0.6	1.2				66.4	
01/04/1999	0.8		1.3			2.2	-4.3		3.0	1.6		0.7	1.5	0.7	0.5		1.9	-0.1	-7.4	-4.1	0.0		0.1	0.4	0.6	0.8	3.7			0.8	1.4	-0.6	-1.6	0.8	-0.5	1.2				63.1	
01/05/1999	0.6		1.2			2.2	-5.8		3.1	1.6		0.7	0.0	0.7	0.3		1.5	-0.6	-8.6	-5.6	0.1		-0.1	0.5	0.5	0.4	3.7			0.7	1.2	-0.6	-1.9	0.6	-0.4	1.0				60.1	
01/06/1999	0.4		1.1			2.1	-6.9		3.2	1.5		0.9	-1.3	0.7	0.1		1.1	-1.2	-9.9	-6.8	0.2		-0.3	0.5	0.4	0.4	3.7			0.9	1.1	-0.6	-2.1	0.4	-0.3	0.7				57.3	
01/07/1999	0.3		0.9			2.1	-7.8		3.4	1.3		1.0	-2.6	0.7	-0.2		0.9	-1.5	-11.1	-8.2	0.2		-0.5	0.6	0.4	0.7	3.7			1.6	0.9	-0.7	-2.3	0.3	-0.2	0.5				55.6	
01/08/1999	0.1		0.8			1.9	-8.7		3.3	1.2		1.2	-3.9	0.6	-0.6		0.5	-1.8	-12.3	-9.4	0.3		-0.7	0.6	0.3	1.0	3.7			2.5	0.6	-0.8	-2.4	0.1	-0.1	0.2				53.5	
01/09/1999	-0.1		0.6			1.8	-8.9		3.2	1.1		1.3	-5.9	0.7	-0.8		0.2	-1.8	-13.4	-10.5	0.4		-0.9	0.6	0.2	0.9	3.7			3.5	0.4	-0.9	-2.7	-0.1	0.2	0.0				52.7	
01/10/1999	-0.2		0.6			1.6	-8.7		2.9	1.0		1.5	-7.7	0.7	-0.8		0.3	-1.7	-13.6	-11.7	0.6		-1.0	0.7	0.2	0.7	3.7			3.9	0.1	-1.1	-2.9	-0.2	0.4	-0.1				51.5	
