LOCATION	Country	TIME	ST	LT
AUT	Austria	2000-01	3.3431	5.75
AUT	Austria	2000-02	3.5368	5.77
AUT	Austria	2000-03	3.747	5.59
AUT	Austria	2000-04	3.9253	5.49
AUT	Austria	2000-05	4.362	5.66
AUT	Austria	2000-06	4.5017	5.52
AUT	Austria	2000-07	4.5829	5.6
AUT	Austria	2000-08	4.7771	5.54
AUT	Austria	2000-09	4.8528	5.57
AUT	Austria	2000-10	5.0413	5.52
AUT	Austria	2000-11	5.092	5.46
AUT	Austria	2000-12	4.9392	5.21
AUT	Austria	2001-01	4.7707	5.1
AUT	Austria	2001-02	4.7558	5.1
AUT	Austria	2001-03	4.7086	5.01
AUT	Austria	2001-04	4.682	5.16
AUT	Austria	2001-05	4.6367	5.34
AUT	Austria	2001-06	4.4536	5.27
AUT	Austria	2001-07	4.4671	5.29
AUT	Austria	2001-08	4.3535	5.1
AUT	Austria	2001-09	3.9829	5.08
AUT	Austria	2001-10	3.5999	4.85
AUT	Austria	2001-11	3.3857	4.7
AUT	Austria	2001-12	3.3449	4.95
AUT	Austria	2002-01	3.3388	5.06
AUT	Austria	2002-02	3.3571	5.12
AUT	Austria	2002-03	3.3908	5.36
AUT	Austria	2002-04	3.4069	5.35
AUT	Austria	2002-05	3.4671	5.37
AUT	Austria	2002-06	3.464	5.22
AUT	Austria	2002-07	3.41	5.06
AUT	Austria	2002-08	3.3519	4.77
AUT	Austria	2002-09	3.3101	4.57
AUT	Austria	2002-10	3.2613	4.64
AUT	Austria	2002-11	3.1241	4.62
AUT	Austria	2002-12	2.941	4.43
AUT	Austria	2003-01	2.8318	4.22
AUT	Austria	2003-02	2.6875	4.01
AUT	Austria	2003-03	2.53	4.03
AUT	Austria	2003-04	2.5333	4.16
AUT	Austria	2003-05	2.4005	3.85
AUT	Austria	2003-06	2.1519	3.76
AUT	Austria	2003-07	2.13	4.06
AUT	Austria	2003-08	2.1404	4.22
AUT	Austria	2003-09	2.1473	4.24
AUT	Austria	2003-10	2.1436	4.32
AUT	Austria	2003-11	2.159	4.44
AUT	Austria	2003-12	2.1463	4.38
AUT	Austria	2004-01	2.0895	4.27
AUT	Austria	2004-02	2.0706	4.23
AUT	Austria	2004-03	2.0288	4.05
AUT	Austria	2004-04	2.0488	4.24
AUT	Austria	2004-05	2.0859	4.37
AUT	Austria	2004-06	2.1127	4.42
