"Date"	"Country"	"Reg"	"Infl"	"Fuel"	"Sent"	"ST"	"LT"	"Unem"
2010-01-01	"Austria"	20882	0.1	1122.5	-1.4	0.6798	3.75	4.9
2010-01-01	"Belgium"	49376	0.5	1306.25	-14.2	0.6798	3.75	8.6
2010-01-01	"Czech.Republic"	10830	-9	1166.785	-12.3	1.55	4.28	8
2010-01-01	"Denmark"	10658	-0.9	1391.36	11.8	1.4587	3.5684	7.2
2010-01-01	"Estonia"	759	-10.4	1058.12	-15.8	2.74	NA	18.4
2010-01-01	"Finland"	11911	-3.7	1368.72	16.1	0.6798	3.49	9.5
2010-01-01	"France"	171478	0.4	1290.1475	-16	0.6798	3.5157	10.1
2010-01-01	"Germany"	181189	-0.1	1349	-17.8	0.6798	3.26	8
2010-01-01	"Greece"	26585	-6.9	1099.75	-47.2	0.6798	6.02	11.7
2010-01-01	"Hungary"	2781	5.5	1178.15	-46.4	6.7803	7.62	11.4
2010-01-01	"Ireland"	16382	-5.4	1217	-27.2	0.6798	4.83	13.6
2010-01-01	"Italy"	207267	1.2	1308.625	-17	0.6798	4.0779	9.1
2010-01-01	"Latvia"	269	-8	1033.725	-40	4.77	13.76	20.9
2010-01-01	"Lithuania"	439	-9.6	1111.81	-44.2	3.068	8.15	17.8
2010-01-01	"Luxembourg"	3536	1.3	1104.2325	-11.2	0.6798	NA	5
2010-01-01	"Netherlands"	62761	-0.6	1440.25	0.8	0.6798	3.467	5.4
2010-01-01	"Poland"	25371	0.8	1061.49	-20.9	4.19	6.13	10.3
2010-01-01	"Slovakia"	2917	-12	1175	-25.3	0.6798	4.11	15.1
2010-01-01	"Slovenia"	5217	-6.4	1137	-22.6	0.6798	4	7
2010-01-01	"Spain"	70130	-3.3	1100.705	-14	0.6798	3.98865	19.5
2010-01-01	"Sweden"	15523	2.4	1232.035	15.3	0.2	3.37	9.5
2010-01-01	"United.Kingdom"	145479	2	1250.6025	-5.1	0.575	4.0025	7.9
2010-02-01	"Austria"	21786	-0.1	1100.5	0.6	0.6617	3.66	5.5
2010-02-01	"Belgium"	47584	0.5	1308	-15.1	0.6617	3.73	8.7
2010-02-01	"Czech.Republic"	11106	-8.9	1173.175	-10.5	1.52	4.33	8.4
2010-02-01	"Denmark"	8590	-0.9	1388.6625	10.8	1.3927	3.4963	7.8
2010-02-01	"Estonia"	562	-10	1075.0875	-13.5	2.12	NA	19.5
2010-02-01	"Finland"	7195	-3.3	1361.9275	16.8	0.6617	3.38	9.2
2010-02-01	"France"	180535	0.4	1299.375	-16.5	0.6617	3.49805	9.8
2010-02-01	"Germany"	194846	-0.1	1317.0625	-17.4	0.6617	3.17	8.1
2010-02-01	"Greece"	13728	-7.3	1178.5	-50.5	0.6617	6.46	12.3
2010-02-01	"Hungary"	3041	5.6	1168.89	-44.6	6.5905	7.69	11.8
2010-02-01	"Ireland"	12098	-5.2	1244	-28	0.6617	4.59	13.6
