Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA
01/01/2001	25885	57349	6226	12625	191203	242242	29440	33345	272052	3385	70380	23316	91723	16595	187908	1263674	643	7878	23810	32331	1296005
01/02/2001	21569	45711	7129	8370	177412	236150	22780	23458	224757	4372	41757	19047	116125	17926	79151	1045714	532	6664	23201	30397	1076111
01/03/2001	34067	49944	9310	10039	210285	356024	25033	22696	251698	5317	56536	25607	148031	23632	408024	1636243	657	8233	31410	40300	1676543
01/04/2001	31904	45105	9066	9372	201359	295013	25284	16671	220800	4240	43492	20001	122310	22969	179996	1247582	703	7188	30985	38876	1286458
01/05/2001	30468	45980	10089	11438	203831	330325	28780	18511	234929	4186	49985	27799	136136	25081	198620	1356158	812	8671	33419	42902	1399060
01/06/2001	27038	44156	10081	10366	220321	302643	27691	14436	217696	3802	49796	27778	150414	23867	215325	1345410	1162	7889	30687	39738	1385148
01/07/2001	26594	40098	7292	9011	208338	277252	29251	12294	216093	3846	45216	26916	162780	14857	173038	1252876	602	8891	27289	36782	1289658
01/08/2001	20816	33024	7733	8964	148165	256418	21842	8804	107330	2686	41755	16066	88615	18421	77368	858007	541	7789	23579	31909	889916
01/09/2001	20590	30593	6696	8211	153044	257918	18331	5565	159740	2536	40596	15462	84269	18928	443265	1265744	426	7058	21884	29368	1295112
01/10/2001	23129	42206	7207	8694	198527	284317	20453	5377	198367	3545	43796	17820	111486	21388	185325	1171637	501	8342	24720	33563	1205200
01/11/2001	19813	33312	7464	7293	182000	277242	18851	2682	178826	2897	38260	17690	106677	21244	184278	1098529	394	7491	25704	33589	1132118
01/12/2001	11655	21205	7880	5104	160247	226174	12478	891	131167	2021	8662	17708	107007	21673	126471	860343	272	5822	19953	26047	886390
