Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	Czech Republic	Estonia	Hungary	Latvia	Lithuania	Poland	Slovakia	Slovenia	EU (New Members)2	EUROPEAN UNION3	EU + EFTA
01/01/2005	23424	50958	9950	18168	164116	200419	31742	38329	214440	3793	70943	16524	104795	16547	181474	1145622	1314	7375	18008	26697	1172319	9944	1467	10664	860	784	22228	3857	5501	55305	1200927	1227624
01/02/2005	18621	45171	9581	11174	159642	218841	20480	24616	197582	4888	34161	15541	119555	19073	77092	976018	1091	8325	16945	26361	1002379	8909	1199	14152	983	752	19826	3366	4776	53963	1029981	1056342
01/03/2005	32549	51869	12421	12896	202475	331538	25616	24690	230473	5931	45589	21118	149559	23936	442939	1613599	1169	9493	24843	35505	1649104	12723	1697	17384	1097	766	23922	4599	5659	67847	1681446	1716951
01/04/2005	34063	48036	13917	14938	194651	309378	26273	17401	197715	5312	40985	16723	133398	25718	179457	1257965	1558	10089	28243	39890	1297855	14624	2009	16469	1339	946	19340	5244	6089	66060	1324025	1363915
01/05/2005	29705	41322	12924	14762	183462	299992	23733	17517	151133	4448	37132	20288	140705	25438	187900	1190461	2011	9714	24915	36640	1227101	15923	1933	17005	1570	964	20902	5455	5663	69415	1259876	1296516
01/06/2005	32849	49041	14976	14249	223397	336629	25599	14378	236488	4299	45056	26552	161717	26454	227623	1439307	2543	9879	27055	39477	1478784	15489	1900	18992	1425	1097	23196	5646	5880	73625	1512932	1552409
01/07/2005	25881	32347	11729	11432	159465	270936	26379	12369	214088	3941	38003	19202	163004	17186	175277	1181239	1807	9690	22009	33506	1214745	11887	1670	16910	1657	907	19610	5181	4851	62673	1243912	1277418
01/08/2005	21808	33109	11828	11521	113843	246666	20818	8909	98133	2773	32898	11222	96768	20361	83066	813723	1407	8544	18475	28426	842149	12537	1551	15788	1406	721	17766	4578	3836	58183	871906	900332
01/09/2005	25375	35382	12434	11869	165698	284172	19418	6993	188417	3470	43488	13506	102854	25076	417052	1355204	1371	8795	21522	31688	1386892	10556	1605	17311	1380	797	17181	4327	4515	57672	1412876	1444564
01/10/2005	23699	36720	11479	11234	159668	288598	18754	4257	186745	3837	34987	14168	107314	24894	152497	1078851	1328	8884	20838	31050	1109901	12712	1481	16318	1470	844	15750	4880	4542	57997	1136848	1167898
01/11/2005	22240	35399	12437	9992	172003	275217	19145	1666	179411	3431	33134	16056	119438	24617	158474	1082660	1336	9180	20814	31330	1113990	12929	1708	19744	1666	902	17121	4421	4324	62815	1145475	1176805
01/12/2005	17701	20734	13209	5714	169369	256873	11771	617	142819	2394	8776	15588	129770	25001	156866	977202	1125	9939	21274	32338	1009540	13466	1420	18245	1749	987	18680	5571	3688	63806	1041008	1073346
