Country	Austria	Belgium	Denmark	Finland	France	Germany	Greece	Ireland	Italy	Luxembourg	Netherlands	Portugal	Spain	Sweden	United Kingdom	EU-151	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	Bulgaria	Czech Republic	Estonia	Hungary	Latvia	Lithuania	Poland	Romania	Slovakia	Slovenia	EU (New Members)2	EUROPEAN UNION3	EU + EFTA
01/01/2006	23448	58128	11187	18443	168589	223108	29792	42804	239651	4167	69231	15631	113410	17128	157363	1192080	1479	7458	18589	27526	1219606	1943	10098	1886	12153	1351	908	18680	14973	3737	5118	70847	1262927	1290453
01/02/2006	19505	54554	10549	11606	160537	215963	21198	25469	211562	4223	39817	15446	126099	18568	75996	1011092	1683	7345	17458	26486	1037578	1958	10519	1537	14777	1365	915	18154	14887	3850	4999	72961	1084053	1110539
01/03/2006	35046	64963	14176	13747	197376	358072	25069	25956	252901	5832	50980	20886	174117	25560	435847	1700528	2172	9819	26950	38941	1739469	2639	13892	1807	18010	1850	1167	21626	20400	5265	6012	92668	1793196	1832137
01/04/2006	30855	51147	13222	12247	181647	284873	23520	17258	187508	5507	36830	17072	129476	25809	163216	1180187	1275	8350	24359	33984	1214171	2393	13891	2105	17008	2037	1134	19861	20239	5192	5632	89492	1269679	1303663
01/05/2006	30659	50701	15617	15159	177343	330102	26427	17570	228643	5822	41327	19033	153658	28827	190002	1330890	1765	10415	27575	39755	1370645	2819	16114	2815	17541	2416	1308	20444	23469	6094	5671	98691	1429581	1469336
01/06/2006	29833	46118	16812	15098	223737	323776	26652	15428	209265	4916	48673	21594	169242	28320	219497	1398961	2612	9538	29778	41928	1440889	2961	14520	2448	18029	2309	1323	20978	23488	5554	5477	97087	1496048	1537976
01/07/2006	25403	35359	11374	10661	151549	265845	26643	12105	192084	4059	36332	18402	167450	18895	168015	1144176	1394	10154	21662	33210	1177386	2759	12357	2095	14591	2011	1182	18981	27698	4642	5066	91382	1235558	1268768
01/08/2006	23022	33018	11949	11068	113955	244757	19271	9062	97168	2801	34110	11695	102389	22241	77961	814467	1080	8793	17608	27481	841948	2618	12677	2355	13641	2192	1216	17444	18817	4501	4117	79578	894045	921526
01/09/2006	24274	34989	12076	11716	143634	298179	18355	6125	184405	3241	39608	12399	104771	24472	413991	1332235	1139	8842	19646	29627	1361862	2161	11181	2062	15538	2131	1160	19097	22007	4380	4469	84186	1416421	1446048
01/10/2006	25001	41492	12268	11121	173137	293832	19619	4027	189234	4018	38892	14235	125109	24251	153851	1130087	965	8673	21179	30817	1160904	2985	14212	2253	15679	2374	1448	20875	23957	5085	5012	93880	1223967	1254784
01/11/2006	23873	34686	12403	9032	158296	326038	18520	1684	192725	3730	35162	14704	133002	24816	155315	1143986	947	8744	22017	31708	1175694	3233	14052	2251	15818	2725	1243	21272	23252	4745	4562	93153	1237139	1268847
01/12/2006	17675	20986	12752	5791	150749	303416	12603	996	140903	2521	13008	13605	135885	23879	133810	988579	618	11033	22631	34282	1022861	4012	13173	1749	14891	2821	1230	21581	23177	6039	3443	92116	1080695	1114977
