Country	Austria	Belgium	Bulgaria	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	EU-152	EU-103	Iceland	Norway	Switzerland	EFTA	EU + EFTA	EU15 + EFTA
01/01/2012	26826	44732	1325	12912	12871	1671	14237	147046	210195	8451	4935	21309	137744	882	1008	3649	70157	24057	6959	3475	4801	5126	54961	18686	128853	966868	906676	60192	320	10838	23649	34807	1001675	941483
01/02/2012	24005	43716	1394	13542	14182	1303	10619	163010	224318	3827	4260	11496	131269	727	863	4543	43968	23732	6902	4540	5370	4239	64730	20735	61868	889158	829188	59970	323	10925	23283	34531	923689	863719
01/03/2012	37933	59915	1610	17062	13680	1684	22925	197774	339123	4901	4766	13054	138816	879	1001	5319	52334	29349	9643	5815	6427	5349	84427	28555	372835	1455176	1381234	73942	433	13051	32700	46184	1501360	1427418
01/04/2012	32728	48326	1856	16586	12092	1765	4051	166552	274066	4409	4287	6806	130320	884	1061	5373	41033	23602	8400	6650	5794	4513	56250	23336	142322	1023062	956064	66998	726	10876	28437	40039	1063101	996103
01/05/2012	32398	40780	1894	15975	16688	1942	7320	165691	289977	5314	4581	7701	147938	1040	1213	4833	47759	23684	10668	8497	5948	4791	72444	25759	162288	1107123	1037558	69565	1536	12612	29176	43324	1150447	1080882
01/06/2012	33068	47647	2278	18138	14697	1966	7716	208909	296722	5527	4956	6352	129113	1050	1048	4939	76120	23157	10803	6963	5976	5135	73259	25562	189514	1200615	1129948	70667	1516	11053	39971	52540	1253155	1182488
01/07/2012	28268	36701	1580	11157	16709	1794	6444	148924	247860	5757	4474	4424	109616	895	1051	4195	30918	20681	9256	5599	6252	4242	65325	18076	143884	934082	876357	57725	574	11920	24156	36650	970732	913007
01/08/2012	24570	31256	1837	13193	13546	1518	7538	96067	226455	3886	3537	3092	56715	894	952	2899	32996	17976	5442	5268	5948	3166	48820	21065	59433	688069	633780	54289	473	11790	21943	34206	722275	667986
01/09/2012	27094	33660	1586	12475	13905	1548	7983	137536	250082	3463	3525	2483	109543	744	980	3340	31952	18727	6357	6751	7329	3289	35148	21937	359612	1101049	1044095	56954	470	11134	21067	32671	1133720	1076766
01/10/2012	26322	41846	1660	15962	15218	1630	8188	162335	259529	5111	4045	1658	117398	1001	1188	4454	26775	22048	7387	6861	4796	3825	44873	24028	151252	959390	896374	63016	519	12413	26361	39293	998683	935667
01/11/2012	24377	35834	1796	14203	16318	1560	7716	144602	259846	4164	4645	883	107058	873	958	3782	30270	23062	7133	6384	5554	3845	48155	25052	149191	927261	864381	62880	496	11986	26674	39156	966417	903537
01/12/2012	18421	22324	2170	12783	10694	1043	6410	160314	204331	3669	5048	316	87480	796	842	3072	18214	20820	6359	5340	5073	2571	51197	27108	123557	799952	743466	56486	544	9369	28531	38444	838396	781910
