Country	Austria	Belgium	Bulgaria	Croatia	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	EU + EFTA	EU-152	EU-113
01/01/2013	27761	50684	1295	1814	12073	14735	1713	10252	124798	192090	5533	3654	17260	114102	776	1001	3375	47959	26188	7021	4436	4371	4424	49675	15721	143643	886354	460	11639	21285	33384	857993	919738	824609	61745
01/02/2013	21196	45400	1470	1787	10562	12223	1364	7861	143255	200683	4116	3839	10583	108963	773	782	4090	31900	24072	7517	3473	4401	3853	58372	17860	66749	797144	380	11322	22188	33890	774658	831034	740768	56376
01/03/2013	31067	53076	1531	2436	13823	14925	1630	9491	165829	281184	4493	5063	11649	132753	805	956	4850	35558	25374	9624	3324	5729	4648	72678	22493	394806	1309795	493	10735	28638	39866	1284342	1349661	1244476	65319
01/04/2013	30807	53036	1692	2813	15063	15807	1936	9822	157749	284444	5332	4623	6152	116838	796	1045	5160	30405	24018	8042	5242	5765	4794	62317	24175	163357	1041230	579	13988	28047	42614	1016057	1083844	973443	67787
01/05/2013	29094	44519	1678	3344	14821	16609	2003	10230	148490	261316	5242	5006	5948	136850	960	1109	4614	30077	22617	10093	4107	5906	4911	70546	25782	180111	1045983	1424	12012	27093	40529	1020050	1086512	979521	66462
01/06/2013	31279	43158	2000	3190	14484	17538	1702	8816	191355	282913	5648	4982	1672	122815	1027	1121	4320	35039	24998	12735	3967	5872	5920	72771	22869	214957	1137148	1468	10948	28772	41188	1109073	1178336	1067885	69263
01/07/2013	28543	34879	1738	3224	14534	14291	1811	8451	150218	253146	6462	5037	11639	108339	934	1071	3905	30470	24717	10843	5714	5709	4308	75027	18161	162228	985399	635	11312	25923	37870	954472	1023269	916602	68797
01/08/2013	23063	29829	1793	1539	11596	14276	1589	7731	85953	214044	3373	4165	3698	53296	752	828	2554	28294	18827	6141	6319	4243	3436	39874	21616	65937	654766	429	11660	20886	32975	632654	687741	599679	55087
01/09/2013	25301	34890	1692	1817	13208	14540	1569	8219	142166	247199	3814	4679	3161	106940	940	986	3158	31393	21467	7369	4491	5084	4025	45175	24388	403136	1160807	350	12168	22518	35036	1135885	1195843	1100849	59958
01/10/2013	26743	39490	1799	2194	15346	16832	1798	9099	166495	265441	4971	5122	1692	111466	1161	1196	4499	36307	26433	9092	5594	6599	4641	60304	25332	157314	1006960	467	12893	26310	39670	974747	1046630	935077	71883
01/11/2013	23350	32023	1815	1922	14697	15872	1577	7440	138829	254651	5464	4943	701	102871	894	1139	3544	40354	24049	8810	5474	5668	3986	55451	24738	159581	939843	299	12079	24772	37150	910829	976993	873679	66164
01/12/2013	20831	25081	2215	1722	14539	14248	1002	5902	175319	215320	4248	5026	212	89415	818	929	2555	38918	26238	8634	5569	6653	2639	60499	26423	152918	907873	290	11395	29496	41181	881704	949054	840523	67350
