Country	Austria	Belgium	Bulgaria	Croatia	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Portugal	Romania1	Slovakia	Slovenia	Spain	Sweden	United Kingdom	EUROPEAN UNION	Iceland	Norway	Switzerland	EFTA	EU15 + EFTA	EU + EFTA
01/01/2016	24019	44326	1678	2427	17499	16412	1788	11785	138400	218365	5700	5568	39722	155851	1090	1561	3477	40542	31941	13940	5800	5473	5907	76334	21648	169678	1060931	1213	10991	20379	32583	1012782	1093514
01/02/2016	22495	49707	1807	2583	19300	16611	1671	9653	166728	250146	3310	6627	21573	173097	1246	1407	4448	28096	33795	18029	5099	6728	4797	97649	26869	83395	1056866	1044	12222	22571	35837	1007643	1092703
01/03/2016	31941	56423	2395	4119	22799	19142	2085	11625	211254	322913	6316	7502	21529	191409	1548	1625	5040	29626	39303	26459	6572	7823	5887	111511	34712	518707	1700265	1333	13875	29024	44232	1642839	1744497
01/04/2016	31102	55022	2357	4924	23131	19853	2235	11083	182863	315921	9735	8063	10381	168132	1462	2036	5233	27610	34753	15978	6174	7279	5074	100279	33580	189505	1273765	2260	14116	28497	44873	1221150	1318638
01/05/2016	28462	48856	2485	6090	24335	21121	2279	10517	175831	286931	13489	8517	6499	188657	1415	2160	5011	28791	33154	20851	6345	8299	5466	113671	34475	203585	1287292	3392	12864	25855	42111	1228858	1329403
01/06/2016	33751	55272	2618	6244	25714	23641	2022	10753	227353	339563	8863	9696	1623	166232	1937	1899	5106	39249	38746	23369	5462	8354	5764	123790	36307	255766	1459094	2855	13681	31105	47641	1398279	1506735
01/07/2016	26882	34373	2368	3578	18739	15697	1937	8342	132990	278866	7034	8064	29873	137223	1257	1651	4141	31026	31424	15632	10768	6826	4700	107306	24197	178523	1123417	1611	11040	25915	38566	1070671	1161983
01/08/2016	23690	38655	2188	2365	21251	17424	1850	9201	98211	245076	4174	7177	7297	72004	1168	1552	3359	26846	28467	10708	12411	6906	3601	64089	27316	81640	818626	1181	13232	21735	36148	765838	854774
01/09/2016	29836	41748	2356	2586	19946	18452	1959	9645	168820	298002	4595	8225	4707	154393	1530	1703	3568	33327	32746	13960	9361	7126	4585	79591	32292	469696	1454755	1027	13854	25994	40875	1403507	1495630
01/10/2016	26273	41969	2293	2889	21905	17076	1910	9159	155194	262724	4995	7951	2257	147435	1288	1740	4275	29814	32392	14933	7951	7511	4846	83248	31840	180168	1104036	897	11932	23207	36036	1047396	1140072
01/11/2016	25491	39645	2467	2826	23161	18058	1880	9004	163161	276567	5897	9415	754	146397	1275	1536	3838	32082	37412	16483	9645	7830	4784	92653	31801	184101	1148163	954	13194	26152	40300	1086232	1188463
01/12/2016	25662	33523	3204	3475	21913	19408	1381	8145	194372	256533	4765	9750	434	125062	1141	1414	3065	35505	43900	16988	9331	8010	3552	96888	37281	178022	1142724	706	13602	34861	49169	1084822	1191893
