Date	Austria	Belgium	Czech.Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Ireland	Italy	Latvia	Lithuania	Luxembourg	Netherlands	Poland	Slovakia	Slovenia	Spain	Sweden	United.Kingdom
01/01/2010	4.9	8.6	8.0	7.2	18.4	9.5	10.1	8.0	11.7	11.4	13.6	9.1	20.9	17.8	5.0	5.4	10.3	15.1	7.0	19.5	9.5	7.9
01/02/2010	5.5	8.7	8.4	7.8	19.5	9.2	9.8	8.1	12.3	11.8	13.6	9.2	21.3	18.4	5.0	5.5	10.8	15.4	7.2	19.9	9.3	8.1
01/03/2010	5.4	8.5	7.8	7.9	19.7	9.1	9.5	7.6	11.8	11.8	13.9	8.8	21.5	18.5	4.7	5.4	10.7	15.3	7.2	20.2	9.3	7.9
01/04/2010	5.2	8.3	7.2	7.7	19.2	9.3	9.3	7.2	12.2	11.5	14.2	8.8	21.3	18.7	4.4	5.1	10.0	14.8	7.2	20.2	9.7	7.6
01/05/2010	4.8	8.0	7.3	7.5	18.3	10.5	9.1	6.9	12.1	11.2	14.6	8.3	20.4	18.1	4.2	5.0	9.5	14.4	7.1	19.9	9.0	7.6
01/06/2010	4.7	8.0	6.9	7.5	17.2	8.8	8.6	6.7	11.8	11.0	15.0	7.8	19.4	17.9	4.2	4.9	9.2	14.3	7.1	19.6	9.6	7.8
01/07/2010	4.8	8.8	7.3	7.5	15.9	7.5	8.4	6.8	12.5	11.0	15.0	7.5	18.8	18.2	4.2	4.7	9.1	14.3	7.0	19.4	8.2	7.9
01/08/2010	4.7	8.7	7.2	7.3	15.4	7.3	8.9	6.5	12.5	10.8	15.0	6.7	18.5	17.6	4.2	4.7	9.1	14.0	7.1	19.6	7.7	7.9
01/09/2010	4.8	8.5	6.8	7.2	15.0	7.0	8.9	6.5	12.8	10.8	14.6	8.1	18.3	17.2	4.4	4.9	9.2	14.3	7.0	19.8	7.9	8.0
01/10/2010	4.5	8.1	7.0	7.2	14.5	7.4	9.3	6.5	13.8	10.7	14.9	9.0	17.9	17.2	4.7	4.9	9.2	14.1	7.6	20.1	7.7	7.8
01/11/2010	4.4	7.8	6.8	7.3	13.5	7.1	9.7	6.3	14.3	10.8	15.0	8.7	17.7	17.0	4.9	4.9	9.3	13.9	7.6	20.2	7.4	7.6
01/12/2010	4.4	7.7	6.8	7.6	14.3	7.9	9.6	6.5	15.2	11.2	15.3	8.2	17.6	17.5	5.1	4.7	9.6	14.0	8.1	20.2	7.6	7.6
01/01/2011	4.7	7.5	7.3	7.8	14.9	8.2	9.8	6.8	15.4	11.6	15.2	8.5	17.4	17.4	5.0	5.2	10.0	14.2	8.6	20.8	8.4	7.8
01/02/2011	5.8	7.2	7.4	8.1	14.3	8.4	9.6	6.5	16.2	11.8	15.0	8.6	17.7	17.2	4.9	5.3	10.1	14.1	8.6	21.2	8.1	7.8
01/03/2011	4.7	6.9	6.8	7.7	14.1	9.3	9.3	6.4	16.8	11.5	14.9	8.6	17.8	16.9	4.7	5.1	10.0	13.9	8.4	21.3	8.4	7.6
01/04/2011	4.7	6.6	6.9	7.5	13.2	8.2	9.0	5.8	16.0	11.1	15.0	7.9	17.9	16.3	4.7	4.9	9.7	13.5	7.9	20.9	8.2	7.6
01/05/2011	4.5	6.5	6.6	7.3	13.0	9.8	8.8	5.7	17.4	10.9	15.2	7.9	17.2	15.5	4.6	4.8	9.5	13.2	7.6	20.6	8.1	7.8
01/06/2011	4.1	6.6	6.6	7.5	12.8	8.4	8.5	5.9	16.3	10.8	15.8	7.5	16.3	15.0	4.5	4.6	9.2	13.2	7.6	20.5	9.2	8.1
01/07/2011	4.1	7.7	6.7	7.6	11.6	6.9	8.4	5.9	16.9	10.8	16.2	7.3	15.4	15.4	4.8	4.6	9.3	13.2	7.8	20.8	7.2	8.3
01/08/2011	3.9	8.0	6.4	7.5	10.7	6.6	8.8	5.9	19.3	10.7	16.2	6.7	15.0	15.0	4.8	4.6	9.3	13.1	7.8	21.3	7.0	8.5
01/09/2011	4.0	7.7	6.6	7.4	10.8	6.9	8.9	5.2	17.8	10.9	15.4	8.6	14.8	14.4	4.9	5.1	9.5	13.6	8.0	21.9	7.0	8.5
01/10/2011	4.7	7.3	6.5	7.4	11.4	7.0	9.5	5.1	19.7	10.7	15.2	9.0	14.8	13.9	4.9	5.2	9.5	13.9	8.6	22.3	7.2	8.4
01/11/2011	5.0	7.0	6.3	7.4	11.3	6.2	9.8	5.4	21.4	10.7	15.2	9.8	15.0	13.6	4.9	5.4	9.7	14.1	8.8	22.6	7.1	8.2
01/12/2011	4.7	7.0	6.5	7.6	11.0	7.4	9.8	5.4	21.8	11.2	15.5	9.8	15.3	14.1	5.3	5.1	10.0	14.2	8.8	22.7	7.3	8.1
01/01/2012	4.2	7.3	6.9	7.8	11.2	7.8	10.1	6.2	21.5	11.7	15.8	10.2	15.7	14.5	5.3	5.8	10.5	14.2	8.9	23.7	8.4	8.2
01/02/2012	5.4	7.3	7.4	8.1	11.3	7.7	10.0	5.8	23.2	11.9	15.9	10.7	16.4	14.6	5.2	5.8	10.6	14.1	8.7	24.3	8.2	8.2
01/03/2012	4.7	7.1	7.0	8.0	11.3	8.5	9.8	5.4	23.9	11.7	15.7	11.5	16.9	14.6	5.1	5.8	10.5	14.0	8.2	24.6	8.0	8.1
01/04/2012	4.7	7.1	6.8	7.9	10.2	8.4	9.6	5.2	23.0	11.4	15.6	10.9	17.1	14.0	4.9	5.8	10.1	13.7	8.1	24.5	8.0	7.8
01/05/2012	4.8	7.0	6.7	7.8	10.1	9.5	9.5	5.5	23.6	11.0	15.7	10.3	16.4	13.1	4.8	5.6	9.9	13.5	8.1	24.5	8.5	7.8
01/06/2012	4.9	7.0	6.5	7.5	10.0	7.9	9.1	5.2	24.8	10.7	16.3	10.2	15.3	12.8	4.7	5.5	9.7	13.7	8.4	24.2	9.1	8.0
01/07/2012	5.0	7.5	7.0	7.4	9.8	6.9	8.9	5.6	23.9	10.5	16.4	9.7	14.0	12.6	4.8	5.6	9.8	13.7	9.1	24.4	7.4	8.0
01/08/2012	5.1	7.8	7.3	7.4	9.5	7.3	9.3	5.3	25.3	10.5	16.1	9.0	13.5	12.5	4.8	5.5	9.9	13.6	9.3	24.8	7.5	8.0
01/09/2012	5.1	7.9	6.6	7.3	8.8	7.1	9.5	5.0	25.8	10.5	15.1	10.6	13.5	12.6	5.0	6.0	9.9	13.8	9.2	25.2	7.6	8.0
01/10/2012	4.7	8.1	7.0	7.0	8.9	6.9	10.2	5.1	24.8	10.6	14.7	11.7	13.9	12.9	5.2	6.1	9.9	14.2	9.5	25.6	7.5	7.8
01/11/2012	5.1	8.3	7.6	6.9	9.1	7.3	10.6	5.1	27.3	10.6	14.4	11.8	14.0	13.4	5.3	6.2	10.1	14.5	9.3	25.9	7.8	7.6
01/12/2012	4.9	8.4	6.9	7.3	9.7	6.9	10.6	5.2	26.8	11.1	14.4	11.1	13.8	13.3	5.7	6.2	10.4	14.6	9.9	25.8	7.6	7.6
01/01/2013	5.6	8.6	7.1	7.6	10.2	8.7	11.0	5.8	27.3	11.5	14.4	12.8	13.2	13.4	5.9	6.9	11.2	14.7	10.9	26.7	8.4	7.9
01/02/2013	5.7	8.5	7.9	7.7	10.0	8.7	10.9	5.9	27.8	11.6	14.4	12.8	13.1	13.0	5.9	7.1	11.4	14.6	11.3	27.1	8.5	7.8
01/03/2013	5.9	8.4	7.3	7.5	9.3	9.0	10.6	5.5	27.8	10.9	14.4	12.4	12.7	13.0	5.8	7.2	11.3	14.4	11.2	27.0	8.8	7.7
01/04/2013	5.2	8.3	6.8	6.9	8.2	8.8	10.4	5.2	27.8	10.5	14.5	12.4	12.0	12.4	5.7	7.1	10.9	14.1	10.8	26.6	8.7	7.5
01/05/2013	4.9	8.0	7.2	6.7	8.0	10.8	10.2	5.1	27.4	10.2	14.7	12.1	11.3	11.4	5.6	7.1	10.4	13.9	10.4	26.1	8.2	7.6
01/06/2013	4.9	8.0	6.4	6.6	7.8	7.8	9.8	5.3	26.7	10.1	14.9	11.5	11.0	11.4	5.6	7.1	10.1	14.1	9.9	25.6	9.1	7.7
01/07/2013	5.5	8.7	6.6	7.0	7.6	6.6	9.6	5.2	27.3	10.0	14.4	10.9	11.6	10.9	5.8	7.2	9.9	14.0	9.6	25.6	7.2	7.9
01/08/2013	5.1	8.7	7.3	7.0	7.8	7.1	9.8	5.0	27.2	9.8	13.8	10.8	11.9	11.1	5.7	7.1	9.8	13.9	9.5	25.6	7.3	7.9
01/09/2013	5.4	8.6	6.9	6.7	8.0	7.6	10.0	5.0	27.2	9.7	12.8	12.1	11.8	10.7	5.9	7.5	9.8	14.2	9.1	25.8	7.5	7.6
